issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-10352,Improvement,2018-09-17 17:57:47,
FLINK-10353,Improvement,2018-09-17 18:45:59,2018-11-07 18:50:06
FLINK-10354,Bug,2018-09-17 20:35:23,2018-11-22 00:46:56
FLINK-10355,Improvement,2018-09-17 22:10:18,2018-11-22 01:10:50
FLINK-10356,Sub-task,2018-09-17 22:38:19,
FLINK-10357,Bug,2018-09-17 22:55:20,2018-11-05 00:49:41
FLINK-10358,Bug,2018-09-18 02:32:36,2018-09-21 05:31:36
FLINK-10359,Improvement,2018-09-18 05:28:09,2018-12-11 21:50:11
FLINK-10360,Improvement,2018-09-18 07:06:58,
FLINK-10361,Bug,2018-09-18 16:48:06,2018-11-08 20:59:42
FLINK-10362,Bug,2018-09-18 16:49:23,2018-09-19 02:09:25
FLINK-10363,Bug,2018-09-18 16:51:36,2018-09-19 02:14:38
FLINK-10364,Bug,2018-09-18 16:53:19,2018-11-05 20:29:07
FLINK-10365,Improvement,2018-09-18 17:14:00,2018-09-19 15:17:11
FLINK-10366,Improvement,2018-09-18 17:52:25,2018-09-19 15:18:07
FLINK-10367,Sub-task,2018-09-19 15:00:33,2018-11-29 17:50:34
FLINK-10368,Bug,2018-09-19 19:57:16,2019-08-06 23:13:45
FLINK-10369,Improvement,2018-09-19 21:11:46,2018-09-24 00:44:50
FLINK-10370,Bug,2018-09-19 21:17:38,
FLINK-10371,New Feature,2018-09-19 22:01:25,2018-11-22 01:03:15
FLINK-10372,Improvement,2018-09-20 08:09:31,
FLINK-10373,Improvement,2018-09-20 11:47:48,2018-09-20 16:23:46
FLINK-10374,Improvement,2018-09-20 16:18:10,
FLINK-10375,Improvement,2018-09-20 19:51:44,2018-09-21 17:26:57
FLINK-10376,Bug,2018-09-20 20:51:11,2018-09-24 19:14:25
FLINK-10377,Bug,2018-09-20 20:57:05,
FLINK-10378,Improvement,2018-09-20 21:45:16,2018-09-27 21:37:55
FLINK-10379,Bug,2018-09-20 22:33:24,2018-10-10 19:20:50
FLINK-10380,Task,2018-09-20 22:33:35,
