fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
"mahout-0.10.0(0.9,0.8).csv",0,0,-14,1.0,0.5,0.0004110152075626798
"mahout-0.13.0(0.12.0,0.11.0,0.10.0,0.9,0.8,0.7,0.6,0.5,0.4).csv",0,0,-2,1.0,0.5,0.00038517091959557054
"mahout-0.12.0(0.11.0,0.10.0,0.9,0.8,0.7,0.6,0.5).csv",0,-1,-5,1.0,0.5,0.0003642544924720738
"mahout-0.11.0(0.10.0,0.9,0.8,0.7,0.6).csv",0,0,-3,1.0,0.5,0.00033433634236041456
"mahout-0.12.0(0.11.0,0.10.0,0.9,0.8,0.7,0.6,0.5,0.4).csv",0,0,-2,1.0,0.5,0.0003238691568606283
"mahout-0.11.0(0.10.0,0.9,0.8,0.7,0.6,0.5).csv",0,-2,0,1.0,0.5,0.00028252578047746857
"mahout-0.10.0(0.9,0.8,0.7).csv",0,-1,-9,1.0,0.5,0.000280662363177098
"mahout-0.11.0(0.10.0,0.9,0.8,0.7,0.6,0.5,0.4).csv",0,-8,1,1.0,0.5,0.0002467308166790032
"mahout-0.10.0(0.9,0.8,0.7,0.6).csv",0,0,-2,1.0,0.5,0.00020703933747412008
"mahout-0.10.0(0.9,0.8,0.7,0.6,0.5).csv",-3,1,-3,0.0,0.2,0.00016871941960519654
"mahout-0.10.0(0.9,0.8,0.7,0.6,0.5,0.4).csv",-1,1,-5,0.0,0.5,0.0001438021282714984
