issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-7308,Bug,2017-07-31 20:01:45,2017-07-31 20:07:35
FLINK-7309,Bug,2017-07-31 21:16:58,2018-03-12 23:29:26
FLINK-7310,Sub-task,2017-07-31 21:48:26,2017-11-08 21:19:33
FLINK-7311,Improvement,2017-07-31 21:50:51,2017-08-02 20:48:23
FLINK-7312,Sub-task,2017-07-31 21:53:12,2017-11-08 21:19:06
FLINK-7313,Sub-task,2017-07-31 21:56:16,2017-08-01 19:31:17
FLINK-7314,Sub-task,2017-07-31 21:56:53,2017-08-01 19:36:47
FLINK-7315,Improvement,2017-07-31 22:17:30,
FLINK-7316,Sub-task,2017-07-31 22:20:35,2017-11-24 17:51:01
FLINK-7317,Sub-task,2017-07-31 22:50:33,2017-08-02 05:28:42
FLINK-7318,Sub-task,2017-07-31 23:44:53,2017-08-01 19:44:13
FLINK-7319,Sub-task,2017-08-01 00:03:19,2017-08-01 19:46:29
FLINK-7320,Sub-task,2017-08-01 00:27:16,2017-08-02 20:29:35
FLINK-7321,Sub-task,2017-08-01 00:39:33,2017-08-02 04:51:32
FLINK-7322,Sub-task,2017-08-01 00:55:00,2017-08-01 19:57:13
FLINK-7323,Sub-task,2017-08-01 01:12:06,2017-08-02 17:05:46
FLINK-7324,Sub-task,2017-08-01 01:52:05,2017-08-02 04:54:20
FLINK-7325,Sub-task,2017-08-01 01:56:24,2017-08-02 16:03:26
FLINK-7326,Sub-task,2017-08-01 02:12:12,2017-08-01 20:02:27
FLINK-7327,Sub-task,2017-08-01 03:33:12,2017-08-01 20:06:20
FLINK-7328,Sub-task,2017-08-01 03:39:21,2017-08-02 05:04:02
FLINK-7329,Bug,2017-08-01 07:17:12,2017-08-01 17:59:31
FLINK-7330,Bug,2017-08-01 07:21:26,2017-08-02 18:27:15
FLINK-7331,Sub-task,2017-08-01 15:40:08,2017-08-02 15:59:02
FLINK-7332,Sub-task,2017-08-01 16:48:54,2017-08-02 05:18:38
FLINK-7333,Sub-task,2017-08-01 17:17:15,2017-08-02 04:37:37
FLINK-7334,Sub-task,2017-08-01 17:25:06,2017-08-03 19:49:41
FLINK-7335,Sub-task,2017-08-01 17:25:42,2017-08-03 19:54:29
FLINK-7336,Sub-task,2017-08-01 17:35:21,2017-08-02 20:28:12
FLINK-7337,Improvement,2017-08-01 22:32:47,2017-08-23 16:24:12
FLINK-7338,Bug,2017-08-01 23:16:09,2017-11-03 17:33:19
FLINK-7339,Bug,2017-08-02 00:07:21,
FLINK-7340,Bug,2017-08-02 03:29:14,2019-10-25 17:52:13
FLINK-7341,Improvement,2017-08-02 07:00:04,
FLINK-7342,New Feature,2017-08-02 11:08:35,
FLINK-7343,Bug,2017-08-02 15:03:22,2018-03-22 06:40:37
FLINK-7344,Improvement,2017-08-02 15:08:27,
FLINK-7345,New Feature,2017-08-02 16:10:23,2017-08-21 15:03:32
FLINK-7346,Bug,2017-08-02 16:31:05,2017-08-02 20:48:07
FLINK-7347,Improvement,2017-08-02 16:55:14,2017-08-18 17:26:35
FLINK-7348,Improvement,2017-08-02 17:07:55,2017-08-07 21:19:48
FLINK-7349,Improvement,2017-08-02 17:25:50,2017-08-07 21:18:23
FLINK-7350,Improvement,2017-08-02 17:34:40,2017-08-07 21:18:37
FLINK-7351,Bug,2017-08-02 18:19:13,2019-03-29 19:31:46
FLINK-7352,Bug,2017-08-02 20:45:56,2017-08-10 17:21:51
FLINK-7353,Improvement,2017-08-02 21:38:21,
FLINK-7354,Bug,2017-08-02 22:09:45,2017-08-10 19:24:57
FLINK-7355,Bug,2017-08-03 00:25:06,
FLINK-7356,Bug,2017-08-03 02:58:58,2017-08-04 11:40:31
FLINK-7357,Bug,2017-08-03 12:37:52,2018-03-12 23:37:06
FLINK-7358,Improvement,2017-08-03 13:43:04,2019-01-30 17:49:43
FLINK-7359,Bug,2017-08-03 15:14:22,2019-01-10 22:10:20
FLINK-7360,New Feature,2017-08-03 16:06:07,
FLINK-7361,Bug,2017-08-03 17:07:11,2017-08-14 18:32:15
FLINK-7362,Bug,2017-08-03 17:49:08,2017-08-15 21:54:13
FLINK-7363,Improvement,2017-08-03 19:41:04,2017-08-09 17:13:28
FLINK-7364,Bug,2017-08-04 02:16:18,
FLINK-7365,Bug,2017-08-04 05:20:37,2017-11-08 21:18:30
FLINK-7366,Bug,2017-08-04 07:31:23,2017-08-30 16:54:21
FLINK-7367,Bug,2017-08-04 08:05:30,2017-09-07 14:24:48
FLINK-7368,Bug,2017-08-04 11:06:56,2018-03-12 23:18:14
FLINK-7369,Improvement,2017-08-04 15:58:44,2018-07-24 21:11:52
FLINK-7370,Improvement,2017-08-04 16:56:42,
FLINK-7371,Bug,2017-08-04 20:56:58,2017-10-17 00:04:36
FLINK-7372,Improvement,2017-08-05 06:27:41,2017-08-10 17:22:57
FLINK-7373,Bug,2017-08-06 02:05:15,
FLINK-7374,Bug,2017-08-06 21:40:18,2017-08-07 15:35:55
FLINK-7375,Improvement,2017-08-07 00:02:49,2017-08-10 17:22:41
FLINK-7376,Improvement,2017-08-07 03:50:09,2017-08-29 22:59:39
